,name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee,loan
946,Jacob Rasmussen,Defender,25,3.0,Italy,Serie A,ACF Fiorentina,Netherlands,Eredivisie,Feyenoord Rotterdam,0,True
947,Julen Lobete,Forward,21,3.0,Spain,LaLiga,Celta de Vigo,Netherlands,Eredivisie,RKC Waalwijk,0,True
948,Rubén Blanco,Goalkeeper,26,3.0,Spain,LaLiga,Celta de Vigo,France,Ligue 1,Olympique Marseille,0,True
949,Güven Yalcin,Forward,23,3.0,Turkey,Süper Lig,Besiktas JK,Italy,Serie B,Genoa CFC,0,False
950,Edouard Michut,Midfielder,19,3.0,France,Ligue 1,Paris Saint-Germain,England,Championship,Sunderland AFC,0,True
951,Sergio Camello,Forward,21,3.0,Spain,LaLiga,Atlético de Madrid,Spain,LaLiga,Rayo Vallecano,0,True
952,Jarrad Branthwaite,Defender,20,3.0,England,Premier League,Everton FC,Netherlands,Eredivisie,PSV Eindhoven,0,True
953,Matteo Cancellieri,Forward,20,3.0,Italy,Serie A,Hellas Verona,Italy,Serie A,SS Lazio,0,True
954,Aaron Ramsey,Midfielder,31,3.0,Italy,Serie A,Juventus FC,France,Ligue 1,OGC Nice,0,False
955,Joe Bryan,Defender,28,3.0,England,Premier League,Fulham FC,France,Ligue 1,OGC Nice,0,True
956,Josip Drmic,Forward,29,3.0,England,Championship,Norwich City,Croatia,SuperSport HNL,GNK Dinamo Zagreb,0,False
957,Gabriel Slonina,Goalkeeper,18,3.0,England,Premier League,Chelsea FC,United States,MLS,Chicago Fire FC,0,True
958,Toni Borevkovic,Defender,25,3.0,Portugal,Liga Portugal,Vitória Guimarães SC,Croatia,SuperSport HNL,HNK Hajduk Split,0,True
959,Gabriel Vidovic,Midfielder,18,3.0,Germany,Bundesliga,Bayern Munich,Netherlands,Eredivisie,Vitesse Arnhem,0,True
960,Radoslaw Majecki,Goalkeeper,22,3.0,Monaco,Ligue 1,AS Monaco,Belgium,Jupiler Pro League,Cercle Brugge ,0,True
961,Heitor,Defender,21,3.0,Brazil,Série A,Sport Club Internacional,Belgium,Jupiler Pro League,Cercle Brugge ,0,True
962,Jean Marcelin,Defender,22,3.0,Monaco,Ligue 1,AS Monaco,Belgium,Jupiler Pro League,Cercle Brugge ,0,True
963,Adryelson,Defender,24,3.0,Brazil,Série B,Sport Club do Recife,Brazil,Série A,Botafogo de Futebol e Regatas,0,False
964,Nahuel Bustos,Forward,24,3.0,England,Premier League,Manchester City,Brazil,Série A,São Paulo Futebol Clube,0,True
965,Jaden Philogene,Forward,20,3.0,England,Premier League,Aston Villa,Wales,Championship,Cardiff City,0,True
966,Ryan Giles,Defender,22,3.0,England,Premier League 2,Wolverhampton Wanderers U21,England,Championship,Middlesbrough FC,0,True
967,Darragh Lenihan,Defender,28,3.0,England,Championship,Blackburn Rovers,England,Championship,Middlesbrough FC,0,False
968,In-beom Hwang,Midfielder,25,3.0,Russia,1.Division,Rubin Kazan,Greece,Super League 1,Olympiacos Piraeus,0,False
969,Marcelo,Defender,34,3.0,Spain,LaLiga,Real Madrid,Greece,Super League 1,Olympiacos Piraeus,0,False
970,Mattia Destro,Forward,31,3.0,Italy,Serie B,Genoa CFC,Italy,Serie A,FC Empoli,0,False
971,Boschilia,Midfielder,26,3.0,Brazil,Série A,Sport Club Internacional,Brazil,Série A,Coritiba Foot Ball Club,0,False
972,Kristoffer Olsson,Midfielder,27,3.0,Belgium,Jupiler Pro League,RSC Anderlecht,Denmark,Superligaen,FC Midtjylland,0,True
973,Jesé,Forward,29,3.0,Spain,LaLiga2,UD Las Palmas,Turkey,Süper Lig,MKE Ankaragücü,0,False
974,Emre Kilinc,Forward,28,3.0,Turkey,Süper Lig,Galatasaray,Turkey,Süper Lig,MKE Ankaragücü,0,True
975,Gonçalo Paciência,Forward,28,3.0,Germany,Bundesliga,Eintracht Frankfurt,Spain,LaLiga,Celta de Vigo,0,False
976,Faitout Maouassa,Defender,23,3.0,Belgium,Jupiler Pro League,Club Brugge KV,France,Ligue 1,Montpellier HSC,0,True
977,Okay Yokuslu,Midfielder,28,3.0,Spain,LaLiga,Celta de Vigo,England,Championship,West Bromwich Albion,0,False
978,Neto,Goalkeeper,33,3.0,Spain,LaLiga,FC Barcelona,England,Premier League,AFC Bournemouth,0,False
979,Evann Guessand,Forward,21,3.0,France,Ligue 1,OGC Nice,France,Ligue 1,FC Nantes,0,True
980,Wladimiro Falcone,Goalkeeper,27,3.0,Italy,Serie A,UC Sampdoria,Italy,Serie A,US Lecce,0,True
981,Mario Gaspar,Defender,31,3.0,Spain,LaLiga,Villarreal CF,England,Championship,Watford FC,0,False
982,Charlie Cresswell,Defender,19,3.0,England,Premier League,Leeds United,England,Championship,Millwall FC,0,True
983,Ignacio Pussetto,Forward,26,3.0,England,Championship,Watford FC,Italy,Serie A,UC Sampdoria,0,True
984,Tino Anjorin,Midfielder,20,3.0,England,Premier League 2,Chelsea FC U21,England,Championship,Huddersfield Town,0,True
985,Michal Helik,Defender,26,3.0,England,League One,Barnsley FC,England,Championship,Huddersfield Town,0,False
986,Halil Dervisoglu,Forward,22,3.0,England,Premier League,Brentford FC,England,Championship,Burnley FC,0,True
987,Ally Samatta,Forward,29,3.0,Turkey,Süper Lig,Fenerbahce,Belgium,Jupiler Pro League,KRC Genk,0,True
988,Yvan Neyou,Midfielder,25,3.0,France,Ligue 2,AS Saint-Étienne,Spain,LaLiga2,CD Leganés,0,True
989,Hernani,Midfielder,28,3.0,Italy,Serie B,Parma Calcio 1913,Italy,Serie B,Reggina 1914,0,True
990,Gautier Larsonneur,Goalkeeper,25,3.0,France,Ligue 1,Stade Brestois 29,France,Ligue 2,Valenciennes FC,0,True
991,Gonçalo Esteves,Defender,18,3.0,Portugal,Liga Portugal,Sporting CP,Portugal,Liga Portugal,GD Estoril Praia,0,True
992,James Léa Siliki,Midfielder,26,3.0,France,Ligue 1,Stade Rennais FC,Portugal,Liga Portugal,GD Estoril Praia,0,False
993,Gonzalo Maroni,Midfielder,23,3.0,Argentina,Liga Profesional,CA Boca Juniors,Argentina,Liga Profesional,CA San Lorenzo de Almagro,0,True
994,Milan Gajić,Defender,26,3.0,Serbia,Super liga Srbije,Red Star Belgrade,Russia,Premier Liga,CSKA Moscow,0,False
995,Carlos Izquierdoz,Defender,33,3.0,Argentina,Liga Profesional,CA Boca Juniors,Spain,LaLiga2,Sporting Gijón,0,False
996,Wahid Faghir,Forward,19,3.0,Germany,Bundesliga,VfB Stuttgart,Denmark,Superligaen,FC Nordsjaelland,0,True
997,João Figueiredo,Forward,26,3.0,United Arab Emirates,UAE Pro League,Al-Wasl Sports Club,Turkey,Süper Lig,Gaziantep FK,0,False
998,Martín Benítez,Midfielder,28,3.0,Argentina,Liga Profesional,CA Independiente,Brazil,Série A,América Futebol Clube (MG),0,True
999,Philip Zinckernagel,Midfielder,27,3.0,Greece,Super League 1,Olympiacos Piraeus,Belgium,Jupiler Pro League,Standard Liège,0,True
1000,Romário Baró,Midfielder,22,3.0,Portugal,Liga Portugal,FC Porto,Portugal,Liga Portugal,Casa Pia AC,0,True
1001,Houboulang Mendes,Defender,24,3.0,France,Ligue 1,FC Lorient,Spain,LaLiga,UD Almería,0,False
1002,Fabrizio Angileri,Defender,28,3.0,Argentina,Liga Profesional,CA River Plate,Spain,LaLiga,Getafe CF,0,False
1003,Michael Estrada,Forward,26,3.0,Mexico,Liga MX Clausura,Deportivo Toluca,Mexico,Liga MX Clausura,CD Cruz Azul,0,True
1004,Metinho,Midfielder,19,3.0,France,Ligue 1,ESTAC Troyes,Belgium,Challenger Pro League,Lommel SK,0,True
1005,In-beom Hwang,Midfielder,25,3.0,Russia,1.Division,Rubin Kazan,"Korea, South",K League 1,FC Seoul,0,True
1006,Matteo Ricci,Midfielder,28,3.0,Italy,Serie B,Frosinone Calcio,Turkey,Süper Lig,Fatih Karagümrük,0,True
1007,Bersant Celina,Midfielder,25,3.0,France,Ligue 2,Dijon FCO,Turkey,Süper Lig,Kasimpasa,0,True
1008,Ivan Cavaleiro,Forward,28,3.0,England,Premier League,Fulham FC,Turkey,Süper Lig,Alanyaspor,0,True
1009,Ahmed Hassan,Forward,29,3.0,Greece,Super League 1,Olympiacos Piraeus,Turkey,Süper Lig,Alanyaspor,0,True
1010,Manu Vallejo,Forward,25,3.0,Spain,LaLiga,Valencia CF,Spain,LaLiga,Girona FC,0,False
1011,Nicolás Díaz,Defender,23,3.0,Mexico,Liga MX Clausura,Mazatlán FC,Mexico,Liga MX Clausura,Club Tijuana,0,False
1012,Óscar Melendo,Midfielder,24,3.0,Spain,LaLiga,RCD Espanyol Barcelona,Spain,LaLiga2,Granada CF,0,False
1013,Jean-David Beauguel,Forward,30,3.0,Czech Republic,Fortuna Liga,FC Viktoria Plzen,Saudi Arabia,Saudi Pro League,Al-Wehda FC,0,False
1014,Gareth Bale,Forward,32,3.0,Spain,LaLiga,Real Madrid,United States,MLS,Los Angeles FC,0,False
1015,Merlin Röhl,Midfielder,20,800k,Germany,3. Liga,FC Ingolstadt 04,Germany,Bundesliga,SC Freiburg,2.9,False
1016,Scott Twine,Midfielder,22,0,England,League One,Milton Keynes Dons,England,Championship,Burnley FC,2.9,False
1017,Marcelo Allende,Midfielder,23,1.6,Uruguay,Primera División Clausura,Montevideo City Torque,South Africa,DStv Premiership,Mamelodi Sundowns FC,2.9,False
1018,Alex Teixeira,Midfielder,32,2.9,Turkey,Süper Lig,Besiktas JK,Brazil,Série B,Clube de Regatas Vasco da Gama,0,False
1019,Luca Pfeiffer,Forward,25,2.0,Denmark,Superligaen,FC Midtjylland,Germany,Bundesliga,VfB Stuttgart,2.85,False
1020,Byron Castillo,Defender,23,2.8,Ecuador,Serie A Segunda Etapa,Barcelona SC Guayaquil,Mexico,Liga MX Clausura,Club León FC,2.85,False
1021,Mario Balotelli,Forward,32,2.8,Turkey,Süper Lig,Adana Demirspor,Switzerland,Super League,FC Sion,2.62,False
1022,Tayyip Talha Sanuc,Defender,22,2.8,Turkey,Süper Lig,Adana Demirspor,Turkey,Süper Lig,Besiktas JK,1.5,False
1023,Gustavo Henrique,Defender,29,2.8,Brazil,Série A,CR Flamengo,Turkey,Süper Lig,Fenerbahce,1.4,True
1024,Amar Rahmanovic,Midfielder,28,2.8,Turkey,Süper Lig,Konyaspor,Russia,Premier Liga,Krylya Sovetov Samara,750k,False
1025,Raúl Moro,Forward,19,2.8,Italy,Serie A,SS Lazio,Italy,Serie B,Ternana Calcio,330k,True
1026,Sean Klaiber,Defender,28,2.8,Netherlands,Eredivisie,Ajax Amsterdam,Netherlands,Eredivisie,FC Utrecht,0,False
1027,Fabio Depaoli,Defender,25,2.8,Italy,Serie A,UC Sampdoria,Italy,Serie A,Hellas Verona,0,True
1028,Birger Verstraete,Midfielder,28,2.8,Belgium,Jupiler Pro League,Royal Antwerp FC,Belgium,Jupiler Pro League,KV Mechelen,0,True
1029,Sam Larsson,Forward,29,2.8,China,Super League,Dalian Professional,Turkey,Süper Lig,Antalyaspor,0,False
1030,Panagiotis Retsos,Defender,24,2.8,Italy,Serie A,Hellas Verona,Greece,Super League 1,Olympiacos Piraeus,0,True
1031,Carel Eiting,Midfielder,24,2.8,England,Championship,Huddersfield Town,Netherlands,Eredivisie,FC Volendam,0,False
1032,Nacer Chadli,Forward,33,2.8,Turkey,Süper Lig,Basaksehir FK,Belgium,Jupiler Pro League,KVC Westerlo,0,True
1033,Yvon Mvogo,Goalkeeper,28,2.8,Germany,Bundesliga,RB Leipzig,France,Ligue 1,FC Lorient,0,False
1034,Lautaro Morales,Goalkeeper,22,2.8,Argentina,Liga Profesional,Club Atlético Lanús,Argentina,Liga Profesional,CA Newell's Old Boys,0,True
1035,Juan Ignacio Méndez,Midfielder,25,2.8,Argentina,Liga Profesional,Club Atlético Talleres,Argentina,Liga Profesional,CA San Lorenzo de Almagro,0,False
1036,Armando Izzo,Defender,30,2.8,Italy,Serie A,Torino FC,Italy,Serie A,AC Monza,0,True
1037,Ilzat Akhmetov,Midfielder,24,2.8,Russia,Premier Liga,CSKA Moscow,Russia,Premier Liga,FK Krasnodar,0,False
1038,Mattia Valoti,Midfielder,28,2.0,Italy,Serie B,SPAL,Italy,Serie A,AC Monza,2.75,False
1039,Leonardo Mancuso,Forward,30,2.7,Italy,Serie A,FC Empoli,Italy,Serie A,AC Monza,2.79,False
1040,Yoann Cathline,Forward,20,400k,France,Ligue 2,EA Guingamp,France,Ligue 1,FC Lorient,2.7,False
1041,Achraf Dari,Defender,23,1.8,Morocco,Botola Pro Inwi,Wydad Casablanca,France,Ligue 1,Stade Brestois 29,2.7,False
1042,Fousseni Diabaté,Forward,26,2.7,Turkey,Süper Lig,Trabzonspor,Serbia,Super liga Srbije,FK Partizan Belgrade,0,False
1043,Assan Ceesay,Forward,28,2.7,Switzerland,Super League,FC Zürich,Italy,Serie A,US Lecce,0,False
1044,Leonardo Mancuso,Forward,30,2.7,Italy,Serie A,AC Monza,Italy,Serie B,Como 1907,0,True
1045,Sofiane Hanni,Midfielder,31,2.7,Qatar,Stars League,Al-Gharafa SC,Qatar,Stars League,Al-Ahli SC,0,False
1046,Emmanuel Agbadou,Defender,25,2.5,Belgium,Jupiler Pro League,KAS Eupen,France,Ligue 1,Stade Reims,2.6,False
1047,Borja Garcés,Forward,22,2.6,Spain,LaLiga,Atlético de Madrid,Spain,LaLiga2,CD Tenerife,0,True
1048,Ben Davies,Defender,26,2.5,England,Premier League,Liverpool FC,Scotland,Premiership,Rangers FC,4.7,False
1049,Giacomo Vrioni,Forward,23,2.5,Italy,Serie A,Juventus FC,United States,MLS,New England Revolution,3.66,False
1050,Kilian Fischer,Defender,21,2.0,Germany,2. Bundesliga,1.FC Nuremberg,Germany,Bundesliga,VfL Wolfsburg,2.5,False
1051,Diego Valencia,Forward,22,900k,Chile,Primera División,CD Universidad Católica,Italy,Serie A,US Salernitana 1919,2.5,False
1052,Thijs Dallinga,Forward,21,1.1,Netherlands,Eredivisie,Excelsior Rotterdam,France,Ligue 1,FC Toulouse,2.5,False
1053,Joel Pohjanpalo,Forward,27,2.5,Germany,Bundesliga,Bayer 04 Leverkusen,Italy,Serie B,Venezia FC,2.5,False
1054,Alex Santana,Midfielder,27,2.0,Bulgaria,efbet Liga,Ludogorets Razgrad,Brazil,Série A,Club Athletico Paranaense,2.5,False
1055,Marko Rakonjac,Forward,22,1.5,Serbia,Super liga Srbije,FK Čukarički,Russia,Premier Liga,Lokomotiv Moscow,2.5,False
1056,Zian Flemming,Midfielder,23,2.0,Netherlands,Eredivisie,Fortuna Sittard,England,Championship,Millwall FC,2.5,False
1057,Tiago Volpi,Goalkeeper,31,2.5,Brazil,Série A,São Paulo Futebol Clube,Mexico,Liga MX Clausura,Deportivo Toluca,2.5,False
1058,Víctor Méndez,Midfielder,22,2.3,Chile,Primera División,Unión Española,Russia,Premier Liga,CSKA Moscow,2.5,False
1059,Jordy Caicedo,Forward,24,2.0,Bulgaria,efbet Liga,CSKA-Sofia,Mexico,Liga MX Clausura,Tigres UANL,2.5,False
1060,Mickaël Biron,Forward,24,900k,Belgium,Jupiler Pro League,KV Oostende,Belgium,Challenger Pro League,RWD Molenbeek,2.5,False
1061,Harry Toffolo,Defender,26,2.5,England,Championship,Huddersfield Town,England,Premier League,Nottingham Forest,2.4,False
1062,Mauro Laínez,Forward,26,2.5,Mexico,Liga MX Clausura,CF América,Mexico,Liga MX Clausura,FC Juárez,2.36,False
1063,Marcus Ingvartsen,Forward,26,2.5,Germany,Bundesliga,1.FC Union Berlin,Germany,Bundesliga,1.FSV Mainz 05,2.3,False
1064,William Böving,Forward,19,2.5,Denmark,Superligaen,FC Copenhagen,Austria,Bundesliga,SK Sturm Graz,2.2,False
1065,Thomas Ouwejan,Defender,25,2.5,Netherlands,Eredivisie,AZ Alkmaar,Germany,Bundesliga,FC Schalke 04,2.0,False
1066,Filip Ugrinic,Midfielder,23,2.5,Switzerland,Super League,FC Luzern,Switzerland,Super League,BSC Young Boys,2.0,False
1067,Gianluca Lapadula,Forward,32,2.5,Italy,Serie B,Benevento Calcio,Italy,Serie B,Cagliari Calcio,2.0,False
1068,Niclas Eliasson,Midfielder,26,2.5,France,Ligue 2,Nîmes Olympique,Greece,Super League 1,AEK Athens,2.0,False
1069,Haji Wright,Forward,24,2.5,Denmark,1.Division,SönderjyskE,Turkey,Süper Lig,Antalyaspor,1.88,False
1070,Dario Saric,Midfielder,25,2.5,Italy,Serie B,Ascoli Calcio,Italy,Serie B,Palermo FC,1.8,False
1071,Steven Zuber,Forward,30,2.5,Germany,Bundesliga,Eintracht Frankfurt,Greece,Super League 1,AEK Athens,1.6,False
1072,Samuele Birindelli,Defender,22,2.5,Italy,Serie B,Pisa Sporting Club,Italy,Serie A,AC Monza,1.6,False
1073,Hrvoje Babec,Midfielder,22,2.5,Croatia,SuperSport HNL,HNK Gorica,Latvia,Virsliga,Riga FC,1.6,False
1074,Dembo Darboe,Forward,23,2.5,Belarus,Vysheyshaya Liga,Shakhter Soligorsk,United Arab Emirates,UAE Pro League,Al-Nasr SC (UAE),1.5,False
1075,Mounir Chouiar,Forward,23,2.5,France,Ligue 2,Dijon FCO,Turkey,Süper Lig,Basaksehir FK,1.5,False
1076,Lei Wu,Forward,30,2.5,Spain,LaLiga,RCD Espanyol Barcelona,China,Super League,Shanghai Port,1.5,False
1077,Miguel Merentiel,Forward,26,2.5,Argentina,Liga Profesional,Defensa y Justicia,Brazil,Série A,Sociedade Esportiva Palmeiras,1.4,False
1078,Afonso Sousa,Midfielder,22,2.5,Portugal,Liga Sabseg,B SAD,Poland,Ekstraklasa,Lech Poznan,1.2,False
1079,Antonio Candreva,Midfielder,35,2.5,Italy,Serie A,UC Sampdoria,Italy,Serie A,US Salernitana 1919,1.0,True
1080,Mijat Gacinovic,Midfielder,27,2.5,Germany,Bundesliga,TSG 1899 Hoffenheim,Greece,Super League 1,AEK Athens,1.0,False
1081,Rubén Alcaraz,Midfielder,31,2.5,Spain,LaLiga,Real Valladolid CF,Spain,LaLiga,Cádiz CF,1.0,False
1082,Víctor Chust,Defender,22,2.5,Spain,LaLiga,Real Madrid,Spain,LaLiga,Cádiz CF,1.0,False
1083,Nuno Santos,Midfielder,23,2.5,Portugal,Liga Portugal,SL Benfica,United States,MLS,Charlotte FC,1.0,False
1084,Kiko Femenía,Defender,31,2.5,England,Championship,Watford FC,Spain,LaLiga,Villarreal CF,980k,False
1085,Dominique Heintz,Defender,28,2.5,Germany,Bundesliga,1.FC Union Berlin,Germany,Bundesliga,VfL Bochum,600k,True
1086,Sebastian Lletget,Midfielder,29,2.5,United States,MLS,New England Revolution,United States,MLS,FC Dallas,546k,False
1087,Philipp Förster,Midfielder,27,2.5,Germany,Bundesliga,VfB Stuttgart,Germany,Bundesliga,VfL Bochum,500k,False
1088,Muhammed Gümüskaya,Midfielder,21,2.5,Turkey,Süper Lig,Fenerbahce,Belgium,Jupiler Pro League,KVC Westerlo,500k,False
1089,Fran Villalba,Midfielder,24,2.5,England,Championship,Birmingham City,Spain,LaLiga2,Sporting Gijón,500k,False
1090,Lazar Randjelovic,Forward,25,2.5,Greece,Super League 1,Olympiacos Piraeus,Russia,Premier Liga,Ural Yekaterinburg,500k,False
1091,Javi Hernández,Defender,24,2.5,Spain,LaLiga2,CD Leganés,Spain,LaLiga,Girona FC,500k,True
1092,Makhtar Gueye,Forward,24,2.5,Belgium,Jupiler Pro League,KV Oostende,Spain,LaLiga2,Real Zaragoza,300k,True
1093,Fran Villalba,Midfielder,24,2.5,Spain,LaLiga2,Sporting Gijón,Spain,LaLiga2,Málaga CF,150k,True
1094,Mamadou Coulibaly,Midfielder,23,2.5,Italy,Serie A,US Salernitana 1919,Italy,Serie B,Ternana Calcio,100k,True
1095,Leo Greiml,Defender,20,2.5,Austria,Bundesliga,Rapid Vienna,Germany,Bundesliga,FC Schalke 04,0,False
1096,Michal Karbownik,Defender,21,2.5,England,Premier League,Brighton & Hove Albion,Germany,2. Bundesliga,Fortuna Düsseldorf,0,True
1097,Vital Nsimba,Defender,29,2.5,France,Ligue 1,Clermont Foot 63,France,Ligue 2,FC Girondins Bordeaux,0,False
1098,Marco John,Defender,20,2.5,Germany,Bundesliga,TSG 1899 Hoffenheim,Germany,2. Bundesliga,SpVgg Greuther Fürth,0,True
1099,Albian Ajeti,Forward,25,2.5,Scotland,Premiership,Celtic FC,Austria,Bundesliga,SK Sturm Graz,0,True
1100,Juan Mata,Midfielder,34,2.5,England,Premier League,Manchester United,Turkey,Süper Lig,Galatasaray,0,False
1101,Bas Dost,Forward,33,2.5,Belgium,Jupiler Pro League,Club Brugge KV,Netherlands,Eredivisie,FC Utrecht,0,False
1102,Fredrik Björkan,Defender,24,2.5,Germany,Bundesliga,Hertha BSC,Netherlands,Eredivisie,Feyenoord Rotterdam,0,True
1103,Hördur Magnússon,Defender,29,2.5,Russia,Premier Liga,CSKA Moscow,Greece,Super League 1,Panathinaikos Athens,0,False
1104,Gideon Mensah,Defender,24,2.5,Austria,Bundesliga,Red Bull Salzburg,France,Ligue 1,AJ Auxerre,0,False
1105,Rubén Peña,Defender,30,2.5,Spain,LaLiga,Villarreal CF,Spain,LaLiga,CA Osasuna,0,False
1106,Aitor Fernández,Goalkeeper,31,2.5,Spain,LaLiga2,Levante UD,Spain,LaLiga,CA Osasuna,0,False
1107,Tommy Doyle,Midfielder,20,2.5,England,Premier League 2,Manchester City U21,England,Championship,Sheffield United,0,True
1108,Zouhair Feddal,Defender,32,2.5,Portugal,Liga Portugal,Sporting CP,Spain,LaLiga,Real Valladolid CF,0,False
1109,Moritz Jenz,Defender,23,2.5,France,Ligue 1,FC Lorient,Scotland,Premiership,Celtic FC,0,True
1110,Iñigo Córdoba,Forward,25,2.5,Spain,LaLiga,Athletic Bilbao,Netherlands,Eredivisie,Fortuna Sittard,0,False
1111,Sandi Lovric,Midfielder,24,2.5,Switzerland,Super League,FC Lugano,Italy,Serie A,Udinese Calcio,0,False
1112,Yann Gboho,Midfielder,21,2.5,France,Ligue 1,Stade Rennais FC,Belgium,Jupiler Pro League,Cercle Brugge ,0,False
1113,Finn Ole Becker,Midfielder,22,2.5,Germany,2. Bundesliga,FC St. Pauli,Germany,Bundesliga,TSG 1899 Hoffenheim,0,False
1114,Marcos Guilherme,Forward,26,2.5,Brazil,Série A,Sport Club Internacional,Brazil,Série A,São Paulo Futebol Clube,0,False
1115,Dorian Dessoleil,Defender,29,2.5,Belgium,Jupiler Pro League,Royal Antwerp FC,Belgium,Jupiler Pro League,KV Kortrijk,0,True
1116,Andy Rinomhota,Midfielder,25,2.5,England,Championship,Reading FC,Wales,Championship,Cardiff City,0,False
1117,Nicolas N'Koulou,Defender,32,2.5,England,Championship,Watford FC,Greece,Super League 1,Aris Thessaloniki,0,False
1118,Denis Cheryshev,Forward,31,2.5,Spain,LaLiga,Valencia CF,Italy,Serie B,Venezia FC,0,False
1119,Guillermo Varela,Defender,29,2.5,Russia,Premier Liga,Dynamo Moscow,Brazil,Série A,CR Flamengo,0,True
1120,Brian Oliván,Defender,28,2.5,Spain,LaLiga,RCD Mallorca,Spain,LaLiga,RCD Espanyol Barcelona,0,False
1121,Dani Gómez,Forward,24,2.5,Spain,LaLiga2,Levante UD,Spain,LaLiga,RCD Espanyol Barcelona,0,True
1122,José Carlos Lazo,Forward,26,2.5,Spain,LaLiga,UD Almería,Spain,LaLiga,RCD Espanyol Barcelona,0,False
1123,Alberto Grassi,Midfielder,27,2.5,Italy,Serie B,Parma Calcio 1913,Italy,Serie A,FC Empoli,0,True
1124,Bruno Gomes,Midfielder,21,2.5,Brazil,Série A,Sport Club Internacional,Brazil,Série A,Coritiba Foot Ball Club,0,True
1125,Emiliano Martínez,Midfielder,23,2.5,Brazil,Série A,Red Bull Bragantino,Denmark,Superligaen,FC Midtjylland,0,True
1126,Francisco Ginella,Midfielder,23,2.5,United States,MLS,Los Angeles FC,Uruguay,Primera División Clausura,Club Nacional,0,True
1127,Martin Boyle,Forward,29,2.5,Saudi Arabia,Without League,Al-Faisaly FC,Scotland,Premiership,Hibernian FC,0,False
1128,Ivan,Goalkeeper,25,2.5,Brazil,Série A,Sport Club Corinthians Paulista,Russia,Premier Liga,Zenit St. Petersburg,0,True
1129,Jonathan Panzo,Defender,21,2.5,England,Premier League,Nottingham Forest,England,Championship,Coventry City,0,True
1130,Keinan Davis,Forward,24,2.5,England,Premier League,Aston Villa,England,Championship,Watford FC,0,True
1131,Jamie Shackleton,Midfielder,22,2.5,England,Premier League,Leeds United,England,Championship,Millwall FC,0,True
1132,Tim Iroegbunam,Midfielder,19,2.5,England,Premier League,Aston Villa,England,Championship,Queens Park Rangers,0,True
1133,Cesc Fàbregas,Midfielder,35,2.5,Monaco,Ligue 1,AS Monaco,Italy,Serie B,Como 1907,0,False
1134,Ryan Nyambe,Defender,24,2.5,England,Championship,Blackburn Rovers,England,Championship,Wigan Athletic,0,False
1135,Víctor Gómez,Defender,22,2.5,Spain,LaLiga,RCD Espanyol Barcelona,Portugal,Liga Portugal,SC Braga,0,True
1136,Diego Lainez,Forward,22,2.5,Spain,LaLiga,Real Betis Balompié,Portugal,Liga Portugal,SC Braga,0,True
1137,Jonas Martin,Midfielder,32,2.5,France,Ligue 1,Stade Rennais FC,France,Ligue 1,LOSC Lille,0,False
1138,Tiago Dantas,Midfielder,21,2.5,Portugal,Liga Portugal,SL Benfica,Greece,Super League 1,PAOK Thessaloniki,0,True
1139,José Esquivel,Midfielder,24,2.5,Mexico,Liga MX Clausura,FC Juárez,Mexico,Liga MX Clausura,Club Necaxa,0,False
1140,Ben Mee,Defender,32,2.5,England,Championship,Burnley FC,England,Premier League,Brentford FC,0,False
1141,Gédéon Kalulu,Defender,24,2.5,France,Ligue 1,AC Ajaccio,France,Ligue 1,FC Lorient,0,False
1142,Jérémy Gélin,Defender,25,2.5,France,Ligue 1,Stade Rennais FC,France,Ligue 2,Amiens SC,0,False
1143,Yan Valery,Defender,23,2.5,England,Premier League,Southampton FC,France,Ligue 1,Angers SCO,0,False
1144,João Carvalho,Midfielder,25,2.5,Greece,Super League 1,Olympiacos Piraeus,Portugal,Liga Portugal,GD Estoril Praia,0,True
1145,Isaac Atanga,Forward,22,2.5,United States,MLS,FC Cincinnati,Turkey,1.Lig,Göztepe,0,True
1146,Andriy Yarmolenko,Forward,32,2.5,England,Premier League,West Ham United,United Arab Emirates,UAE Pro League,Al-Ain FC,0,False
1147,Pere Pons,Midfielder,29,2.5,Spain,LaLiga2,Deportivo Alavés,Cyprus,Protathlima Cyta,AEK Larnaca,0,False
1148,Gonzalo Escalante,Midfielder,29,2.5,Italy,Serie A,SS Lazio,Italy,Serie A,US Cremonese,0,True
1149,Gabriel Silva,Forward,20,2.5,Brazil,Série A,Sociedade Esportiva Palmeiras,Portugal,Liga Portugal,CD Santa Clara,0,True
1150,Matheus Babi,Forward,25,2.5,Brazil,Série A,Club Athletico Paranaense,Portugal,Liga Portugal,CD Santa Clara,0,True
1151,Filip Stevanovic,Forward,19,2.5,England,Premier League 2,Manchester City U21,Portugal,Liga Portugal,CD Santa Clara,0,True
1152,Achraf Bencharki,Forward,27,2.5,Egypt,Premier League,Zamalek SC,United Arab Emirates,UAE Pro League,Al-Jazira (Abu Dhabi),0,False
1153,Alfie Mawson,Defender,28,2.5,England,Premier League,Fulham FC,England,League One,Wycombe Wanderers,0,False
1154,Ryan Woods,Midfielder,28,2.5,England,Championship,Birmingham City,England,Championship,Hull City,0,False
1155,Martín Aguirregabiria,Defender,26,2.5,Spain,LaLiga2,Deportivo Alavés,Portugal,Liga Portugal,FC Famalicão,0,False
